timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756191948,"2025-08-26T07:05:48Z","submariner","managed","sub-managed-1",0.056897831606595256,379387904
1756191948,"2025-08-26T07:05:48Z","submariner","managed","sub-managed-2",0.0463302141937314,380233728
1756192380,"2025-08-26T07:13:00Z","l2sm","control","l2sm-control",0.02474792459818985,847272960
1756192380,"2025-08-26T07:13:00Z","submariner","control","sub-control",0.002683169631005833,60576768
1756192812,"2025-08-26T07:20:12Z","l2sm","control","l2sm-control",0.023325288235844708,849163264
1756192812,"2025-08-26T07:20:12Z","l2sm","managed","l2sm-managed-1",0.05378673967555951,950215680
1756192812,"2025-08-26T07:20:12Z","l2sm","managed","l2sm-managed-2",0.05454221890609223,897584469.3333333
1756192812,"2025-08-26T07:20:12Z","submariner","control","sub-control",0.002745102050092514,60486656
1756192812,"2025-08-26T07:20:12Z","submariner","managed","sub-managed-1",0.05980694462645472,380164096
1756192812,"2025-08-26T07:20:12Z","submariner","managed","sub-managed-2",0.04939845513339634,380141568
1756193244,"2025-08-26T07:27:24Z","l2sm","control","l2sm-control",0.02407212041265354,847706112
1756193244,"2025-08-26T07:27:24Z","submariner","control","sub-control",0.0025111455374808517,60407808
1756193676,"2025-08-26T07:34:36Z","l2sm","control","l2sm-control",0.023894107378464383,849050624
1756193676,"2025-08-26T07:34:36Z","l2sm","managed","l2sm-managed-1",0.05505172630227831,950771712
1756193676,"2025-08-26T07:34:36Z","l2sm","managed","l2sm-managed-2",0.05466826685981225,899464192
1756193676,"2025-08-26T07:34:36Z","submariner","control","sub-control",0.0026636408134199374,60332032
1756193676,"2025-08-26T07:34:36Z","submariner","managed","sub-managed-1",0.05892694288819561,379219968
1756193676,"2025-08-26T07:34:36Z","submariner","managed","sub-managed-2",0.04939990540930788,380246016
1756194108,"2025-08-26T07:41:48Z","l2sm","control","l2sm-control",0.022644172111296032,849142784
1756194108,"2025-08-26T07:41:48Z","submariner","control","sub-control",0.002327875480088366,60347392
1756194540,"2025-08-26T07:49:00Z","l2sm","control","l2sm-control",0.023102279349332167,849664000
1756194540,"2025-08-26T07:49:00Z","l2sm","managed","l2sm-managed-1",0.05234735624840161,950731776
1756194540,"2025-08-26T07:49:00Z","l2sm","managed","l2sm-managed-2",0.05416063404022726,899690496
1756194540,"2025-08-26T07:49:00Z","submariner","control","sub-control",0.0027743300742343,60395520
1756194540,"2025-08-26T07:49:00Z","submariner","managed","sub-managed-1",0.06169851807361866,379552768
1756194540,"2025-08-26T07:49:00Z","submariner","managed","sub-managed-2",0.04808941292136784,380649472
1756194972,"2025-08-26T07:56:12Z","l2sm","control","l2sm-control",0.020503405981997645,849714176
1756194972,"2025-08-26T07:56:12Z","submariner","control","sub-control",0.002166374059864717,60551168
1756195404,"2025-08-26T08:03:24Z","l2sm","control","l2sm-control",0.02331989160078079,850101248
1756195404,"2025-08-26T08:03:24Z","l2sm","managed","l2sm-managed-1",0.08447440550419738,945718272
1756195404,"2025-08-26T08:03:24Z","l2sm","managed","l2sm-managed-2",0.057046688617654814,899811328
1756195404,"2025-08-26T08:03:24Z","submariner","control","sub-control",0.002586844197137728,60462080
1756195404,"2025-08-26T08:03:24Z","submariner","managed","sub-managed-1",0.059925368481052135,379112448
1756195404,"2025-08-26T08:03:24Z","submariner","managed","sub-managed-2",0.048842517285721906,379490304
1756195836,"2025-08-26T08:10:36Z","l2sm","control","l2sm-control",0.021333247240586158,849821696
